Model,Fuel Type,Mileage,Owner,Location,Price
Maruti Suzuki Celerio (2014),PETROL,42000.0 KM,1st,"Kirti Nagar, Delhi","₹ 3,45,000"
Maruti Suzuki Baleno Rs (2017),PETROL,52000.0 KM,1st,"Vikaspuri, Delhi","₹ 5,15,000"
Hyundai Grand I10 (2017),PETROL,33.0 KM,1st,"Karol Bagh, Delhi","₹ 4,29,500"
Renault Triber (2020),PETROL,14000.0 KM,1st,"Netaji Subhash Place, Delhi","₹ 5,50,000"
Ford Endeavour (2013),DIESEL,72000.0 KM,2nd,"Rajouri Garden, Delhi","₹ 6,25,000"
Maruti Suzuki Ertiga (2015),PETROL,47000.0 KM,2nd,"Rajouri Garden, Delhi","₹ 6,10,000"
Audi Q3 (2012),DIESEL,75000.0 KM,2nd,"Karol Bagh, Delhi","₹ 11,00,000"
Honda City (2014),DIESEL,62000.0 KM,1st,"Karol Bagh, Delhi","₹ 4,85,000"
Hyundai I20 (2018),CNG & HYBRIDS,26500.0 KM,1st,"Dilshad Garden, Delhi","₹ 6,45,000"
Ford Endeavour (2010),DIESEL,70000.0 KM,2nd,"Pitampura, Delhi","₹ 3,30,000"
Audi Q3 (2012),DIESEL,66000.0 KM,2nd,"Ashok Vihar, Delhi","₹ 12,50,000"
Hyundai Elite I20 (2020),PETROL,185.0 KM,1st,"Vikaspuri, Delhi","₹ 8,50,000"
Tata Nano (2015),PETROL,29000.0 KM,1st,"Laxmi Nagar, Delhi","₹ 1,49,000"
Mahindra Scorpio (2015),DIESEL,65000.0 KM,1st,"Preet Vihar, Delhi","₹ 8,45,000"
Hyundai Verna (2013),DIESEL,92600.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 4,50,000"
Toyota Innova Crysta (2016),PETROL,33075.0 KM,2nd,"Lajpat Nagar 1, Delhi","₹ 16,50,000"
Volkswagen Polo (2012),PETROL,76000.0 KM,1st,"Kirti Nagar, Delhi","₹ 2,95,000"
Skoda Superb (2012),PETROL,55700.0 KM,1st,"Mayur Vihar, Delhi","₹ 4,95,000"
Maruti Suzuki Swift (2017),PETROL,41500.0 KM,1st,"Mayur Vihar, Delhi","₹ 4,55,000"
Maruti Suzuki Vitara Brezza (2017),DIESEL,50000.0 KM,1st,"Punjabi Bagh West, Delhi","₹ 6,25,000"
Bmw 3 Series (2014),DIESEL,75000.0 KM,1st,"Chander Nagar, Delhi","₹ 13,50,000"
Jaguar Xj (2016),PETROL,33000.0 KM,1st,"Ashok Vihar, Delhi","₹ 47,00,000"
Datsun Redigo (2017),PETROL,59221 KM,First,"Rohini Sector 16, Delhi","₹ 2,05,000"
Hyundai Xcent (2015),CNG & HYBRIDS,48100.0 KM,1st,"Mayur Vihar, Delhi","₹ 3,85,000"
Toyota Etios Liva (2016),CNG & HYBRIDS,42000.0 KM,1st,"Laxmi Nagar, Delhi","₹ 3,85,000"
Hyundai Tucson (2017),DIESEL,67000.0 KM,2nd,"Greater Kailash, Delhi","₹ 14,25,000"
Ford Endeavour (2016),DIESEL,70000.0 KM,2nd,"Greater Kailash, Delhi","₹ 25,50,000"
Maruti Suzuki Ertiga (2019),PETROL,20000.0 KM,1st,"Preet Vihar, Delhi","₹ 9,75,000"
Maruti Suzuki Alto 800 (2016),CNG & HYBRIDS,65000.0 KM,1st,"Karol Bagh, Delhi","₹ 2,95,000"
Hyundai I10 (2012),CNG & HYBRIDS,58000.0 KM,1st,"Mayur Vihar, Delhi","₹ 2,30,000"
Maruti Suzuki Zen Estilo (2009),PETROL,55463.0 KM,1st,"Connaught Place, Delhi","₹ 1,99,000"
Maruti Suzuki Swift (2013),PETROL,56000.0 KM,1st,"Surajmal Vihar, Delhi","₹ 3,60,000"
Maruti Suzuki Alto 800 (2017),PETROL,17000.0 KM,1st,"Jangpura, Delhi","₹ 2,70,000"
Hyundai Creta (2015),DIESEL,53000.0 KM,1st,"Karol Bagh, Delhi","₹ 7,90,000"
Audi A8 (2012),DIESEL,56000.0 KM,2nd,"Green Park, Delhi","₹ 21,75,000"
Maruti Suzuki Wagon R 1.0 (2012),CNG & HYBRIDS,52000.0 KM,1st,"Moti Nagar, Delhi","₹ 2,65,000"
Hyundai Santa Fe (2015),DIESEL,85000.0 KM,1st,"Greater Kailash 1, Delhi","₹ 10,50,000"
Mahindra Xuv500 (2014),DIESEL,65000.0 KM,1st,"Kalkaji, Delhi","₹ 6,50,000"
Hyundai Fluidic Verna (2017),DIESEL,43221.0 KM,1st,"Kalkaji, Delhi","₹ 8,85,000"
Ford Ecosport (2013),DIESEL,62000.0 KM,1st,"Punjabi Bagh West, Delhi","₹ 4,25,000"
Renault Duster (2017),DIESEL,52000.0 KM,1st,"Geeta Colony, Delhi","₹ 6,90,000"
Audi Q3 (2017),PETROL,40000.0 KM,1st,"Ashok Vihar, Delhi","₹ 26,00,000"
Mahindra Xuv300 (2019),DIESEL,22000.0 KM,1st,"Netaji Subhash Place, Delhi","₹ 9,25,000"
Mahindra Xuv500 (2012),DIESEL,72000.0 KM,1st,"Punjabi Bagh West, Delhi","₹ 4,65,000"
Mahindra Xuv500 (2013),DIESEL,65000.0 KM,1st,"Rajouri Garden, Delhi","₹ 5,85,000"
Hyundai Creta (2017),DIESEL,34000.0 KM,1st,"Defence Colony, Delhi","₹ 11,50,000"
Hyundai Grand I10 (2018),PETROL,18000.0 KM,1st,"Connaught Place, Delhi","₹ 4,90,000"
Maruti Suzuki Wagon R (2012),PETROL,56000.0 KM,1st,"Mayur Vihar Phase 1, Delhi","₹ 2,25,000"
Hyundai Grand I10 (2013),PETROL,53000.0 KM,1st,"Mayur Vihar Phase 1, Delhi","₹ 3,30,000"
Tata Tiago (2018),PETROL,10000.0 KM,1st,"Kirti Nagar, Delhi","₹ 4,50,000"
Skoda Octavia (2016),DIESEL,53000 KM,First,"Lajpat Nagar 1, Delhi","₹ 11,95,000"
Hyundai Elite I20 (2015),DIESEL,73000.0 KM,1st,"Tilak Nagar, Delhi","₹ 5,00,000"
Renault Duster (2015),DIESEL,68110.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 4,90,000"
Toyota Innova Crysta (2018),DIESEL,30000.0 KM,1st,"Greater Kailash, Delhi","₹ 18,25,000"
Datsun Redi Go (2016),PETROL,30000.0 KM,1st,"Moti Nagar, Delhi","₹ 2,39,000"
Maruti Suzuki Swift (2013),DIESEL,51454.0 KM,1st,"Jhandewalan, Delhi","₹ 3,25,000"
Maruti Suzuki Ertiga (2012),DIESEL,59899.0 KM,1st,"Jhandewalan, Delhi","₹ 4,00,000"
Maruti Suzuki Omni (2018),CNG & HYBRIDS,23000.0 KM,1st,"Pushp Vihar, Delhi","₹ 2,35,000"
Hyundai I10 (2009),PETROL,80000.0 KM,1st,"South Extension, Delhi","₹ 1,65,000"
Audi A6 (2012),DIESEL,100000.0 KM,1st,"Jangpura, Delhi","₹ 11,77,777"
Mercedes-Benz Others (2010),PETROL,43000.0 KM,2nd,"Pitampura, Delhi","₹ 7,95,000"
Hyundai Grand I10 (2017),PETROL,33500.0 KM,1st,"Khajoori Khas, Delhi","₹ 4,29,500"
Maruti Suzuki Swift (2018),PETROL,32000.0 KM,1st,"Shahdara, Delhi","₹ 5,00,000"
Hyundai Elite I20 (2018),CNG & HYBRIDS,29000.0 KM,1st,"Shahdara, Delhi","₹ 6,25,000"
Hyundai Santro Xing (2011),PETROL,33000.0 KM,3rd,"Jhandewalan, Delhi","₹ 1,90,000"
Honda City (2016),PETROL,54000.0 KM,1st,"Geeta Colony, Delhi","₹ 7,20,000"
Maruti Suzuki Baleno (2018),PETROL,58000.0 KM,1st,"Chittaranjan Park, Delhi","₹ 5,50,000"
Maruti Suzuki Wagon R (2018),PETROL,7000.0 KM,1st,"Karkar Duma, Delhi","₹ 4,25,000"
Hyundai Grand I10 (2014),PETROL,55000.0 KM,2nd,"ITO, Delhi","₹ 3,60,000"
Hyundai Verna (2018),DIESEL,41000.0 KM,1st,"Chittaranjan Park, Delhi","₹ 11,65,000"
Renault Duster (2015),DIESEL,65000.0 KM,1st,"Chittaranjan Park, Delhi","₹ 4,90,000"
Maruti Suzuki Swift Dzire (2011),PETROL,63000.0 KM,2nd,"Lalita Park, Delhi","₹ 2,35,000"
Honda City (2009),PETROL,67000.0 KM,1st,"Dwarka, Delhi","₹ 2,35,000"
Honda City Zx (2007),CNG & HYBRIDS,"65,000 KM",1st,"Ujwa, Delhi","₹ 75,000"
Maruti Suzuki Baleno (2016),DIESEL,58000.0 KM,1st,"Laxmi Nagar, Delhi","₹ 4,65,000"
Hyundai I20 (2015),PETROL,42000.0 KM,1st,"Lajpat Nagar 2, Delhi","₹ 5,40,000"
Maruti Suzuki Sx4 (2007),CNG & HYBRIDS,79000.0 KM,3rd,"Ramesh Nagar, Delhi","₹ 1,50,000"
Maruti Suzuki Ciaz (2016),DIESEL,55000.0 KM,1st,"RK Puram, Delhi","₹ 5,80,000"
Tata Safari (2013),DIESEL,75000.0 KM,1st,"Rohini Sector 7, Delhi","₹ 3,45,000"
Land Rover Range Rover Evoque (2020),DIESEL,2700.0 KM,1st,"Greater Kailash, Delhi","₹ 57,75,000"
Hyundai Verna (2012),PETROL,75000.0 KM,1st,"Safdarjung, Delhi","₹ 4,05,000"
Hyundai Grand I10 Nios (2020),PETROL,9500.0 KM,1st,"Preet Vihar, Delhi","₹ 6,90,000"
Ford Figo (2012),DIESEL,54869.0 KM,1st,"New Moti Nagar, Delhi","₹ 1,80,000"
Maruti Suzuki Ertiga (2012),PETROL,74000.0 KM,1st,"New Rajdhani Enclave, Delhi","₹ 4,45,000"
Ford Ecosport (2013),DIESEL,73000.0 KM,1st,"Laxmi Nagar, Delhi","₹ 4,50,000"
Chevrolet Sail Hatchback (2013),CNG & HYBRIDS,64000.0 KM,1st,"Pitampura, Delhi","₹ 1,90,000"
Hyundai Creta (2016),DIESEL,94000.0 KM,1st,"Lajpat Nagar 2, Delhi","₹ 9,25,000"
Maruti Suzuki Wagon R 1.0 (2018),PETROL,7000.0 KM,1st,"Karkar Duma, Delhi","₹ 4,25,000"
Honda City (2015),DIESEL,56000.0 KM,1st,"Karkar Duma, Delhi","₹ 5,50,000"
Honda Wr-V (2020),DIESEL,44000 KM,First,"Lajpat Nagar 1, Delhi","₹ 7,50,000"
Ford Ecosport (2017),PETROL,44000 KM,First,"Ashok Vihar, Delhi","₹ 7,90,000"
Mahindra Scorpio (2015),DIESEL,52000.0 KM,1st,"Geeta Colony, Delhi","₹ 7,80,000"
Hyundai Others (2020),PETROL,2700.0 KM,1st,"Greater Kailash, Delhi","₹ 8,00,000"
Maruti Suzuki Alto (2012),PETROL,52000.0 KM,1st,"Karol Bagh, Delhi","₹ 1,50,000"
Bmw 7 Series (2009),PETROL,39000.0 KM,1st,"Badarpur, Delhi","₹ 11,60,000"
Volkswagen Vento (2011),PETROL,65000.0 KM,2nd,"Kalkaji, Delhi","₹ 2,99,000"
Maruti Suzuki Swift (2017),PETROL,44000.0 KM,1st,"Preet Vihar, Delhi","₹ 4,40,000"
Maruti Suzuki Swift (2011),PETROL,35173.0 KM,--,"Rajouri Garden, Delhi","₹ 2,90,000"
Maruti Suzuki Swift (2017),PETROL,60000.0 KM,1st,"Sarita Vihar, Delhi","₹ 4,75,000"
Maruti Suzuki Xl6 (2019),PETROL,120000.0 KM,1st,"Pusa Road Area, Delhi","₹ 12,00,000"
Hyundai Creta (2018),DIESEL,71000.0 KM,1st,"Moti Nagar, Delhi","₹ 8,75,000"
Hyundai Eon (2013),PETROL,57000.0 KM,1st,"Shahdara, Delhi","₹ 1,85,000"
Maruti Suzuki Alto (2011),PETROL,66000.0 KM,1st,"Shahdara, Delhi","₹ 1,50,000"
Maruti Suzuki Swift (2009),PETROL,58000.0 KM,2nd,"Jhandewalan, Delhi","₹ 1,85,000"
Toyota Fortuner (2012),DIESEL,120000.0 KM,1st,"Pusa Road Area, Delhi","₹ 12,80,000"
Maruti Suzuki Swift Dzire (2015),DIESEL,55000.0 KM,1st,"Kirti Nagar, Delhi","₹ 5,50,000"
Renault Kwid (2016),PETROL,36000.0 KM,1st,"Preet Vihar, Delhi","₹ 3,15,000"
Ford Figo (2013),DIESEL,65200.0 KM,1st,"Jhandewalan, Delhi","₹ 2,35,000"
Honda Amaze (2015),PETROL,58000.0 KM,1st,"Saket, Delhi","₹ 3,20,000"
Renault Duster (2015),DIESEL,450000.0 KM,1st,"Preet Vihar, Delhi","₹ 5,25,000"
Mahindra Scorpio (2018),DIESEL,53000.0 KM,1st,"Preet Vihar, Delhi","₹ 14,70,000"
Jaguar Xj (2016),PETROL,40000.0 KM,1st,"Greater Kailash 1, Delhi","₹ 44,00,000"
Tata Manza (2010),PETROL,75480.0 KM,--,"Rohini Sector 16, Delhi","₹ 1,10,000"
Maruti Suzuki Vitara Brezza (2018),DIESEL,33000.0 KM,2nd,"Ramesh Nagar, Delhi","₹ 7,15,000"
Maruti Suzuki Ciaz (2015),DIESEL,65000.0 KM,1st,"Preet Vihar, Delhi","₹ 5,15,000"
Ford Endeavour (2018),DIESEL,38000.0 KM,2nd,"Ashok Vihar, Delhi","₹ 28,50,000"
Honda Br-V (2016),DIESEL,52000.0 KM,1st,"Rohini, Delhi","₹ 6,25,000"
Volkswagen Polo (2011),DIESEL,110016.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 2,50,000"
Maruti Suzuki Swift Dzire (2019),DIESEL,"42,000 KM",1st,"Patel Nagar, Delhi","₹ 5,79,000"
Hyundai I20 (2017),CNG & HYBRIDS,"75,000 KM",2nd,"Hari Enclave, Delhi","₹ 4,70,000"
Mahindra Scorpio (2020),DIESEL,40000.0 KM,1st,"Saket, Delhi","₹ 19,00,000"
Hyundai Grand I10 (2016),PETROL,37500.0 KM,1st,"Kirti Nagar, Delhi","₹ 5,50,000"
Volkswagen Vento (2011),PETROL,57000.0 KM,1st,"Preet Vihar, Delhi","₹ 3,25,000"
Maruti Suzuki Ciaz (2015),DIESEL,60000.0 KM,1st,"Preet Vihar, Delhi","₹ 5,15,000"
Bmw 3 Series Gt (2019),DIESEL,35000.0 KM,1st,"Ashok Vihar, Delhi","₹ 35,75,000"
Mercedes-Benz Gle Coupe (2019),PETROL,13000.0 KM,2nd,"Karol Bagh, Delhi","₹ 75,75,000"
Hyundai I20 (2020),PETROL,8000.0 KM,1st,"Model Town, Delhi","₹ 7,10,000"
Bmw 6 Series (2008),PETROL,"50,000 KM",4th,"Pitampura, Delhi","₹ 18,00,000"
Hyundai Elite I20 (2015),DIESEL,62000.0 KM,1st,"Surajmal Vihar, Delhi","₹ 4,65,000"
Tata Hexa (2017),--,61500.0 KM,--,"Lajpat Nagar 1, Delhi","₹ 12,30,000"
Renault Duster (2012),DIESEL,"79,000 KM",2nd,"Rohini Sector 14, Delhi","₹ 3,15,000"
Hyundai I10 (2012.0),PETROL,58000.0 KM,2nd,"Lajpat Nagar 1, Delhi","₹ 2,20,000"
Mg Hector (2019),PETROL,27000.0 KM,1st,"Ashok Vihar, Delhi","₹ 17,25,000"
Mahindra Rexton (2013),DIESEL,44000.0 KM,1st,"Ramesh Nagar, Delhi","₹ 6,95,000"
Hyundai Creta (2016),PETROL,48980.0 KM,--,"Dwarka, Delhi","₹ 7,82,000"
Maruti Suzuki Ertiga (2017),CNG & HYBRIDS,54000.0 KM,1st,"Preet Vihar, Delhi","₹ 7,24,000"
Honda Amaze (2018),PETROL,34000.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 7,00,000"
Mahindra Scorpio (2015),DIESEL,64000.0 KM,1st,"Patparganj, Delhi","₹ 8,60,000"
Honda City (2010),PETROL,54000.0 KM,--,"Karol Bagh, Delhi","₹ 2,60,000"
Chevrolet Cruze (2010),DIESEL,55000.0 KM,--,"Karol Bagh, Delhi","₹ 2,50,000"
Kia Seltos (2020),PETROL,9000.0 KM,1st,"Nirman Vihar, Delhi","₹ 15,00,000"
Hyundai I10 (2008),CNG & HYBRIDS,"70,000 KM",3rd,"Mahendra Park, Delhi","₹ 1,15,000"
Mercedes-Benz Gla (2015),DIESEL,60000.0 KM,2nd,"Rohini, Delhi","₹ 17,50,000"
Honda Civic (2010),PETROL,71000.0 KM,1st,"Shahdara, Delhi","₹ 2,50,000"
Hyundai Santro (2007),CNG & HYBRIDS,"7,500 KM",2nd,"Sawda, Delhi","₹ 90,000"
Hyundai Eon (2015),PETROL,39303.0 KM,1st,"Ghitorni, Delhi","₹ 2,45,000"
Bmw 5 Series (2013),DIESEL,53000.0 KM,1st,"AIIMS, Delhi","₹ 14,75,000"
Fiat Grande Punto (2015),DIESEL,78000.0 KM,1st,"Rohini Sector 16, Delhi","₹ 1,99,000"
Honda Br-V (2016),PETROL,"64,000 KM",1st,"Pandav Nagar, Delhi","₹ 8,00,000"
Maruti Suzuki Swift (2009),PETROL,63000.0 KM,1st,"Rohini, Delhi","₹ 1,75,000"
Maruti Suzuki Ritz (2013),PETROL,85000.0 KM,--,"Rohini Sector 16, Delhi","₹ 2,15,000"
Toyota Fortuner (2015),DIESEL,60000.0 KM,1st,"Vasant Kunj, Delhi","₹ 17,90,000"
Ford Endeavour (2018),DIESEL,27000.0 KM,1st,"Defence Colony, Delhi","₹ 31,50,000"
Hyundai I10 (2008),PETROL,57000.0 KM,--,"Karol Bagh, Delhi","₹ 1,25,000"
Mercedes-Benz New C-Class (2020),DIESEL,6000.0 KM,1st,"Ashok Vihar, Delhi","₹ 44,00,000"
Toyota Etios (2011),PETROL,52000.0 KM,2nd,"Dr Mukherjee Nagar, Delhi","₹ 2,60,000"
Toyota Fortuner (2019),DIESEL,37450.0 KM,1st,"South Extension, Delhi","₹ 33,50,000"
Honda City Zx (2020),PETROL,20000.0 KM,1st,"Nirman Vihar, Delhi","₹ 15,35,000"
Hyundai Grand I 10 (2015),DIESEL,50000.0 KM,--,"Karol Bagh, Delhi","₹ 3,90,000"
Jeep Compass (2018),DIESEL,"125,000 KM",1st,"Rohini Sector 3, Delhi","₹ 12,50,000"
Maruti Suzuki 800 (2009),CNG & HYBRIDS,"52,000 KM",2nd,"Wazirabad, Delhi","₹ 1,00,000"
Hyundai Creta (2018),DIESEL,84585.0 KM,1st,"Badarpur, Delhi","₹ 10,45,000"
Tata Manza (2010),DIESEL,"58,000 KM",--,"Karol Bagh, Delhi","₹ 1,30,000"
Mahindra Scorpio (2017),DIESEL,51449.0 KM,1st,"Jhandewalan, Delhi","₹ 9,00,000"
Mahindra Scorpio (2020),DIESEL,6557.0 KM,1st,"Jhandewalan, Delhi","₹ 14,50,000"
Kia Seltos (2020),PETROL,18000.0 KM,1st,"Shakarpur, Delhi","₹ 12,50,000"
Audi A4 (2012),DIESEL,"58,000 KM",2nd,"Shahdara, Delhi","₹ 8,75,000"
Mahindra Scorpio (2012),DIESEL,92000.0 KM,1st,"Punjabi Bagh West, Delhi","₹ 4,10,000"
Maruti Suzuki Wagon R (2016),CNG & HYBRIDS,"58,000 KM",3rd,"Govindpura, Delhi","₹ 3,20,000"
Maruti Suzuki Wagon R (2011),PETROL,44000.0 KM,1st,"Preet Vihar, Delhi","₹ 2,20,000"
Bmw 5 Series (2016),DIESEL,55000.0 KM,2nd,"Kirti Nagar, Delhi","₹ 29,50,000"
Mahindra Scorpio (2012),DIESEL,47000.0 KM,1st,"Ashram, Delhi","₹ 4,25,000"
Maruti Suzuki Swift Dzire (2014),DIESEL,76000.0 KM,1st,"Karol Bagh, Delhi","₹ 4,35,000"
Bmw 3 Series (2013),DIESEL,57000.0 KM,2nd,"Karol Bagh, Delhi","₹ 11,00,000"
Jaguar Xf (2016),DIESEL,15000.0 KM,1st,"Vasant Kunj, Delhi","₹ 33,00,000"
Mercedes-Benz New C-Class (2013),DIESEL,82000.0 KM,2nd,"Jawalaheri, Delhi","₹ 9,95,000"
Hyundai Creta (2019),DIESEL,"30,000 KM",1st,"East Of Kailash, Delhi","₹ 10,25,000"
Toyota Corolla Altis (2009),PETROL,79000.0 KM,2nd,"Krishna Nagar, Delhi","₹ 2,95,000"
Maruti Suzuki Wagon R 1.0 (2016),PETROL,"27,600 KM",1st,"Pitampura, Delhi","₹ 3,55,000"
Renault Duster (2014),DIESEL,60000.0 KM,1st,"Jhilmil Colony, Delhi","₹ 4,90,000"
Hyundai Verna (2021),PETROL,1200.0 KM,1st,"Geeta Colony, Delhi","₹ 9,65,000"
Maruti Suzuki Swift Dzire (2018),CNG & HYBRIDS,48000.0 KM,1st,"Preet Vihar, Delhi","₹ 5,00,000"
Honda Amaze (2014),DIESEL,80000.0 KM,1st,"Karol Bagh, Delhi","₹ 2,99,000"
Hyundai I10 (2010),PETROL,"74,000 KM",4th,"Laxmi Nagar, Delhi","₹ 1,65,000"
Ford Ecosport (2015),DIESEL,40000.0 KM,2nd,"Punjabi Bagh West, Delhi","₹ 5,45,000"
Toyota Corolla (2015),DIESEL,"97,000 KM",1st,"Greater Kailash 4, Delhi","₹ 2,50,000"
Honda Amaze (2013),DIESEL,52000.0 KM,1st,"Geeta Colony, Delhi","₹ 3,50,000"
Hyundai Fluidic Verna (2013),DIESEL,65000.0 KM,1st,"Lajpat Nagar 1, Delhi","₹ 4,10,000"
Mahindra Xuv500 (2014),DIESEL,65000.0 KM,1st,"Preet Vihar, Delhi","₹ 7,25,000"
Maruti Suzuki Wagon R 1.0 (2012),CNG & HYBRIDS,47000.0 KM,2nd,"Geeta Colony, Delhi","₹ 2,50,000"
Other Brands Others (2011),PETROL,14500.0 KM,2nd,"Lajpat Nagar 1, Delhi","₹ 85,000"
Hyundai I10 (2010),CNG & HYBRIDS,"64,500 KM",2nd,"Rohini Sector 23, Delhi","₹ 1,75,000"
Other Brands Others (2020),PETROL,1700.0 KM,1st,"Ashok Vihar, Delhi","₹ 12,50,000"
Maruti Suzuki Vitara Brezza (2017),DIESEL,42000.0 KM,1st,"Ashok Vihar, Delhi","₹ 7,99,000"
Land Rover Range Rover Evoque (2015),DIESEL,41000.0 KM,2nd,"Ashok Vihar, Delhi","₹ 29,00,000"
Mahindra Scorpio (2012),DIESEL,80000.0 KM,1st,"Okhla, Delhi","₹ 3,90,000"
Mahindra Bolero (2016),DIESEL,56589.0 KM,1st,"Jhandewalan, Delhi","₹ 6,00,000"
Honda Amaze (2014),DIESEL,51000.0 KM,1st,"Rohini, Delhi","₹ 2,99,000"
Hyundai Fluidic Verna (2014),DIESEL,91000.0 KM,1st,"Sarita Vihar, Delhi","₹ 5,25,000"
Hyundai Fluidic Verna (2014),PETROL,47000.0 KM,1st,"Sarita Vihar, Delhi","₹ 5,25,000"
Maruti Suzuki Wagon R Stingray (2013),CNG & HYBRIDS,"66,490 KM",2nd,"Janakpuri, Delhi","₹ 2,35,000"
Maruti Suzuki Swift (2016),PETROL,53465.0 KM,1st,"Saket, Delhi","₹ 4,50,000"
Volkswagen Polo (2012),DIESEL,75000.0 KM,2nd,"Connaught Place, Delhi","₹ 2,75,000"
Mahindra Xuv500 (2016),DIESEL,42000.0 KM,2nd,"Preet Vihar, Delhi","₹ 9,50,000"
Honda Civic (2008.0),PETROL,60000.0 KM,1st,"Karol Bagh, Delhi","₹ 1,50,000"
Skoda Yeti (2012),DIESEL,66900.0 KM,1st,"Connaught Place, Delhi","₹ 4,30,000"
Hyundai I20 (2012),DIESEL,58000.0 KM,2nd,"Jhandewalan, Delhi","₹ 2,59,000"
Maruti Suzuki Swift Dzire (2018),PETROL,11000.0 KM,1st,"Preet Vihar, Delhi","₹ 6,25,000"
Bmw 5 Series (2016),DIESEL,55000.0 KM,1st,"Naraina, Delhi","₹ 24,75,000"
Renault Duster (2014),DIESEL,54000.0 KM,2nd,"Chander Nagar, Delhi","₹ 3,75,000"
Ford Ecosport (2013),DIESEL,73000.0 KM,1st,"Chander Nagar, Delhi","₹ 4,10,000"
Mercedes-Benz New C-Class (2013),DIESEL,39000.0 KM,1st,"Chander Nagar, Delhi","₹ 13,75,000"
Tata Safari Storme (2017),DIESEL,28000.0 KM,1st,"Ashok Vihar, Delhi","₹ 8,50,000"
Toyota Innova (2013),DIESEL,75000.0 KM,2nd,"Lajpat Nagar 1, Delhi","₹ 7,00,000"
Maruti Suzuki Eeco (2017),CNG & HYBRIDS,46000.0 KM,1st,"Preet Vihar, Delhi","₹ 3,20,000"
Hyundai I20 (2014),DIESEL,63000.0 KM,1st,"Saket, Delhi","₹ 2,90,000"
Toyota Innova Crysta (2018),DIESEL,17000.0 KM,1st,"Greater Kailash 2, Delhi","₹ 20,74,000"
Hyundai Elite I20 (2016),CNG & HYBRIDS,"43,330 KM",2nd,"Rohini Sector 24, Delhi","₹ 4,95,000"
Maruti Suzuki Eeco (2017),CNG & HYBRIDS,57000.0 KM,1st,"Saket, Delhi","₹ 2,80,000"
Maruti Suzuki Alto K10 (2017),PETROL,36000.0 KM,1st,"Krishna Nagar, Delhi","₹ 3,20,000"
Honda City (2008),PETROL,69000.0 KM,1st,"Krishna Nagar, Delhi","₹ 1,85,000"
Honda Civic (2007),PETROL,86000.0 KM,2nd,"Vikaspuri, Delhi","₹ 1,22,000"
Maruti Suzuki Vitara Brezza (2017),DIESEL,69000.0 KM,2nd,"South Extension Part 1, Delhi","₹ 7,00,000"
Maruti Suzuki Vitara Brezza (2016),DIESEL,82000.0 KM,1st,"Saket, Delhi","₹ 6,00,000"
Mahindra Xuv500 (2012),DIESEL,70000.0 KM,3rd,"Karol Bagh, Delhi","₹ 4,25,000"
Maruti Suzuki 800 (2008),PETROL,67000.0 KM,1st,"Ashram, Delhi","₹ 90,000"
Mahindra Scorpio (2018),DIESEL,52000.0 KM,1st,"Preet Vihar, Delhi","₹ 16,30,000"
Hyundai Grand I10 (2016),PETROL,60000.0 KM,1st,"Geeta Colony, Delhi","₹ 4,50,000"
Maruti Suzuki Wagon R (2012),PETROL,73000.0 KM,2nd,"Saket, Delhi","₹ 2,15,000"
Mahindra Thar (2021),DIESEL,2500.0 KM,1st,"Ashok Vihar, Delhi","₹ 17,99,000"
Hyundai I20 (2010),PETROL,58000.0 KM,2nd,"Kirti Nagar, Delhi","₹ 2,10,000"
Maruti Suzuki Swift (2016),PETROL,29000.0 KM,1st,"Karampura, Delhi","₹ 4,25,000"
Maruti Suzuki Wagon R (2013),PETROL,"62,500 KM",2nd,"Guru Angad Nagar, Delhi","₹ 2,10,000"
Volkswagen Crosspolo (2015),DIESEL,"93,000 KM",1st,"National Zoological Park, Delhi","₹ 5,50,000"
Hyundai Santro (2013),CNG & HYBRIDS,"70,000 KM",1st,"Chand Bagh, Delhi","₹ 1,90,000"
Skoda Octavia (2013),DIESEL,"37,000 KM",1st,"Patel Nagar, Delhi","₹ 7,50,000"
Ford Figo (2013),DIESEL,56555.0 KM,1st,"Jhandewalan, Delhi","₹ 2,00,000"
Toyota Innova (2012),DIESEL,82000.0 KM,1st,"Jhandewalan, Delhi","₹ 5,00,000"
Mahindra Xylo (2013),DIESEL,72000.0 KM,1st,"Ashram, Delhi","₹ 2,90,000"
Maruti Suzuki Wagon R 1.0 (2015),CNG & HYBRIDS,59000.0 KM,1st,"Ashram, Delhi","₹ 2,99,000"
Maruti Suzuki Swift Dzire (2013),PETROL,45500.0 KM,1st,"Saket, Delhi","₹ 3,55,000"
Ford Aspire (2018),PETROL,"19,500 KM",1st,"Tagore Garden, Delhi","₹ 5,75,000"
Toyota Corolla Altis (2011),PETROL,67000.0 KM,1st,"New Moti Nagar, Delhi","₹ 3,85,000"
Maruti Suzuki Sx4 (2010),CNG & HYBRIDS,"65,000 KM",2nd,"Lok Vihar, Delhi","₹ 2,25,000"
Honda City Zx (2006),PETROL,59000.0 KM,1st,"Karol Bagh, Delhi","₹ 1,25,000"
Toyota Fortuner (2012),DIESEL,58000.0 KM,1st,"Karol Bagh, Delhi","₹ 11,50,000"
